P:?.? ; M:0.15.5 
P:?.? ; M:0.15.6 
P:?.? ; M:0.15.7 
P:?.? ; M:0.15.8 
P:?.? ; M:0.15.9 
P:?.? ; M:0.15.10 
P:?.? ; M:0.15.11 
P:?.? ; M:0.15.12 
P:?.? ; M:0.16.0 
P:?.? ; M:0.16.1 
P:?.? ; M:0.16.2 
P:?.? ; M:0.16.3 
P:?.? ; M:0.16.4 
P:?.? ; M:0.16.5 
P:?.? ; M:0.16.6 
P:?.? ; M:0.16.7 
P:?.? ; M:0.16.8 
P:?.? ; M:0.16.9 
P:?.? ; M:0.16.10 
P:?.? ; M:0.16.11 
P:?.? ; M:0.16.12 
P:?.? ; M:0.17.0 
P:?.? ; M:0.17.1 
P:?.? ; M:0.17.2 
P:?.? ; M:0.17.3 
P:?.? ; M:0.17.4 
P:?.? ; M:0.17.5 
P:?.? ; M:0.17.6 
P:?.? ; M:0.17.7 
P:?.? ; M:0.17.8 
P:?.? ; M:0.17.9 
P:?.? ; M:0.17.10 
P:?.? ; M:0.17.11 
P:?.? ; M:0.17.12 
P:?.? ; M:0.18.0 
P:?.? ; M:0.18.1 
P:?.? ; M:0.18.2 
P:?.? ; M:0.18.3 
P:?.? ; M:0.18.4 
P:?.? ; M:0.18.5 
P:?.? ; M:0.18.6 
P:?.? ; M:0.18.7 
P:?.? ; M:0.18.8 
P:?.? ; M:0.18.9 
P:?.? ; M:0.18.10 
P:?.? ; M:0.18.11 
P:?.? ; M:0.18.12 
P:?.? ; M:0.19.0 
P:?.? ; M:0.19.1 
P:?.? ; M:0.19.2 
P:?.? ; M:0.19.3 
P:?.? ; M:0.19.4 
P:?.? ; M:0.19.5 
P:?.? ; M:0.19.6 
P:?.? ; M:0.19.7 
P:?.? ; M:0.19.8 
P:?.? ; M:0.19.9 
P:?.? ; M:0.19.10 
P:?.? ; M:0.19.11 
P:?.? ; M:0.19.12 
P:?.? ; M:1.0.0 
P:?.? ; M:1.0.1 
P:?.? ; M:1.0.2 
P:?.? ; M:1.0.3 
P:?.? ; M:1.0.4 
P:?.? ; M:1.0.5 
P:?.? ; M:1.0.6 
P:?.? ; M:1.0.7 
P:?.? ; M:1.0.8 
P:?.? ; M:1.0.9 
P:?.? ; M:1.0.10 
P:?.? ; M:1.0.11 
P:?.? ; M:1.0.12 
P:?.? ; M:1.1.0 
P:?.? ; M:1.1.1 
P:?.? ; M:1.1.2 
P:?.? ; M:1.1.3 
P:?.? ; M:1.1.4 
P:?.? ; M:1.1.5 
P:?.? ; M:1.1.6 
P:?.? ; M:1.1.7 
P:?.? ; M:1.1.8 
P:?.? ; M:1.1.9 
P:?.? ; M:1.1.10 
P:?.? ; M:1.1.11 
P:?.? ; M:1.1.12 
P:?.? ; M:1.2.0 
P:?.? ; M:1.2.1 
P:?.? ; M:1.2.2 
P:?.? ; M:1.2.3 
P:?.? ; M:1.2.4 
P:?.? ; M:1.2.5 
P:?.? ; M:1.2.6 
P:?.? ; M:1.2.7 
P:?.? ; M:1.2.8 
P:?.? ; M:1.2.9 
P:?.? ; M:1.2.10 
P:?.? ; M:1.2.11 
P:?.? ; M:1.2.12 
P:?.? ; M:1.3.0 
P:?.? ; M:1.3.1 
P:?.? ; M:1.3.2 
P:?.? ; M:1.3.3 
P:?.? ; M:1.3.4 
P:?.? ; M:1.3.5 
P:?.? ; M:1.3.6 
P:?.? ; M:1.3.7 
P:?.? ; M:1.3.8 
P:?.? ; M:1.3.9 
P:?.? ; M:1.3.10 
P:?.? ; M:1.3.11 
P:?.? ; M:1.3.12 
P:?.? ; M:1.4.0 
P:?.? ; M:1.4.1 
P:?.? ; M:1.4.2 
P:?.? ; M:1.4.3 
P:?.? ; M:1.4.4 
P:?.? ; M:1.4.5 
P:?.? ; M:1.4.6 
P:?.? ; M:1.4.7 
P:?.? ; M:1.4.8 
P:?.? ; M:1.4.9 
P:?.? ; M:1.4.10 
P:?.? ; M:1.4.11 
P:?.? ; M:1.4.12 
P:?.? ; M:1.5.0 
P:?.? ; M:1.5.1 
P:?.? ; M:1.5.2 
P:?.? ; M:1.5.3 
P:?.? ; M:1.5.4 
P:?.? ; M:1.5.5 
P:?.? ; M:1.5.6 
P:?.? ; M:1.5.7 
P:?.? ; M:1.5.8 
P:?.? ; M:1.5.9 
P:?.? ; M:1.5.10 
P:?.? ; M:1.5.11 
P:?.? ; M:1.5.12 
P:?.? ; M:1.6.0 
P:?.? ; M:1.6.1 
P:?.? ; M:1.6.2 
P:?.? ; M:1.6.3 
P:?.? ; M:1.6.4 
P:?.? ; M:1.6.5 
P:?.? ; M:1.6.6 
P:?.? ; M:1.6.7 
P:?.? ; M:1.6.8 
P:?.? ; M:1.6.9 
P:?.? ; M:1.6.10 
P:?.? ; M:1.6.11 
P:?.? ; M:1.6.12 
P:?.? ; M:1.7.0 
P:?.? ; M:1.7.1 
P:?.? ; M:1.7.2 
P:?.? ; M:1.7.3 
P:?.? ; M:1.7.4 
P:?.? ; M:1.7.5 
P:?.? ; M:1.7.6 
P:?.? ; M:1.7.7 
P:?.? ; M:1.7.8 
P:?.? ; M:1.7.9 
P:?.? ; M:1.7.10 
P:?.? ; M:1.7.11 
P:?.? ; M:1.7.12 
P:?.? ; M:1.8.0 
P:?.? ; M:1.8.1 
P:?.? ; M:1.8.2 
P:?.? ; M:1.8.3 
P:?.? ; M:1.8.4 
P:?.? ; M:1.8.5 
P:?.? ; M:1.8.6 
P:?.? ; M:1.8.7 
P:?.? ; M:1.8.8 
P:?.? ; M:1.8.9 
P:?.? ; M:1.8.10 
P:?.? ; M:1.8.11 
P:?.? ; M:1.8.12 
P:?.? ; M:1.9.0 
P:?.? ; M:1.9.1 
P:?.? ; M:1.9.2 
P:?.? ; M:1.9.3 
P:?.? ; M:1.9.4 
P:?.? ; M:1.9.5 
P:?.? ; M:1.9.6 
P:?.? ; M:1.9.7 
P:?.? ; M:1.9.8 
P:?.? ; M:1.9.9 
P:?.? ; M:1.9.10 
P:?.? ; M:1.9.11 
P:?.? ; M:1.9.12 
P:?.? ; M:1.10.0 
P:?.? ; M:1.10.1 
P:?.? ; M:1.10.2 
P:?.? ; M:1.10.3 
P:?.? ; M:1.10.4 
P:?.? ; M:1.10.5 
P:?.? ; M:1.10.6 
P:?.? ; M:1.10.7 
P:?.? ; M:1.10.8 
P:?.? ; M:1.10.9 
P:?.? ; M:1.10.10 
P:?.? ; M:1.10.11 
P:?.? ; M:1.10.12 
P:?.? ; M:1.11.0 
P:?.? ; M:1.11.1 
P:?.? ; M:1.11.2 
P:?.? ; M:1.11.3 
P:?.? ; M:1.11.4 
P:?.? ; M:1.11.5 
P:?.? ; M:1.11.6 
P:?.? ; M:1.11.7 
P:?.? ; M:1.11.8 
