##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:0.6.11  ; L:16.26  ; A:16.26  ; M:0.6.11  
H:0.6.12  ; L:17.6   ; A:17.6   ; M:0.6.12  
# Column 7:
H:0.7.0   ; L:11.7   ; A:11.7   ; M:0.7.0   
H:0.7.1   ; L:11.27  ; A:11.27  ; M:0.7.1   
H:0.7.2   ; L:12.7   ; A:12.7   ; M:0.7.2   
H:0.7.3   ; L:12.27  ; A:12.27  ; M:0.7.3   
H:0.7.4   ; L:13.7   ; A:13.7   ; M:0.7.4   
H:0.7.5   ; L:13.27  ; A:13.27  ; M:0.7.5   
H:0.7.6   ; L:14.7   ; A:14.7   ; M:0.7.6   
H:0.7.7   ; L:14.27  ; A:14.27  ; M:0.7.7   
H:0.7.8   ; L:15.7   ; A:15.7   ; M:0.7.8   
H:0.7.9   ; L:15.27  ; A:15.27  ; M:0.7.9   
H:0.7.10  ; L:16.7   ; A:16.7   ; M:0.7.10  
H:0.7.11  ; L:16.27  ; A:16.27  ; M:0.7.11  
H:0.7.12  ; L:17.7   ; A:17.7   ; M:0.7.12  
# Column 8:
H:0.8.0   ; L:11.8   ; A:11.8   ; M:0.8.0   
H:0.8.1   ; L:11.28  ; A:11.28  ; M:0.8.1   
H:0.8.2   ; L:12.8   ; A:12.8   ; M:0.8.2   
H:0.8.3   ; L:12.28  ; A:12.28  ; M:0.8.3   
H:0.8.4   ; L:13.8   ; A:13.8   ; M:0.8.4   
H:0.8.5   ; L:13.28  ; A:13.28  ; M:0.8.5   
H:0.8.6   ; L:14.8   ; A:14.8   ; M:0.8.6   
H:0.8.7   ; L:14.28  ; A:14.28  ; M:0.8.7   
H:0.8.8   ; L:15.8   ; A:15.8   ; M:0.8.8   
H:0.8.9   ; L:15.28  ; A:15.28  ; M:0.8.9   
H:0.8.10  ; L:16.8   ; A:16.8   ; M:0.8.10  
H:0.8.11  ; L:16.28  ; A:16.28  ; M:0.8.11  
H:0.8.12  ; L:17.8   ; A:17.8   ; M:0.8.12  
# Column 9:
H:0.9.0   ; L:11.9   ; A:11.9   ; M:0.9.0   
H:0.9.1   ; L:11.29  ; A:11.29  ; M:0.9.1   
H:0.9.2   ; L:12.9   ; A:12.9   ; M:0.9.2   
H:0.9.3   ; L:12.29  ; A:12.29  ; M:0.9.3   
H:0.9.4   ; L:13.9   ; A:13.9   ; M:0.9.4   
H:0.9.5   ; L:13.29  ; A:13.29  ; M:0.9.5   
H:0.9.6   ; L:14.9   ; A:14.9   ; M:0.9.6   
H:0.9.7   ; L:14.29  ; A:14.29  ; M:0.9.7   
H:0.9.8   ; L:15.9   ; A:15.9   ; M:0.9.8   
H:0.9.9   ; L:15.29  ; A:15.29  ; M:0.9.9   
H:0.9.10  ; L:16.9   ; A:16.9   ; M:0.9.10  
H:0.9.11  ; L:16.29  ; A:16.29  ; M:0.9.11  
H:0.9.12  ; L:17.9   ; A:17.9   ; M:0.9.12  
# Column 10:
H:0.11.0  ; L:11.10  ; A:11.10  ; M:0.10.0  
H:0.11.1  ; L:11.30  ; A:11.30  ; M:0.10.1  
H:0.11.2  ; L:12.10  ; A:12.10  ; M:0.10.2  
H:0.11.3  ; L:12.30  ; A:12.30  ; M:0.10.3  
H:0.11.4  ; L:13.10  ; A:13.10  ; M:0.10.4  
H:0.11.5  ; L:13.30  ; A:13.30  ; M:0.10.5  
