# Table extracted from DocDB 4796-v1
# Author : Ramon Salazar
# Date   : 2019-01-07

P:3.46 ; M:0.3.2
P:3.47 ; M:0.4.2
P:3.48 ; M:0.5.2
P:3.49 ; X:0.0.0.3
P:3.50 ; X:0.0.1.3
P:3.51 ; M:0.0.1
P:3.52 ; M:0.1.1
P:3.53 ; M:0.2.1
P:3.54 ; M:0.3.1
P:3.55 ; M:0.4.1
P:3.56 ; M:0.5.1
P:3.57 ; X:0.0.0.2
P:3.58 ; X:0.0.1.2
P:3.59 ; M:0.0.0
P:3.60 ; M:0.1.0
P:3.61 ; M:0.2.0
P:3.62 ; M:0.3.0
P:3.63 ; M:0.4.0
P:3.64 ; M:0.5.0
P:3.65 ; X:0.0.0.1
P:3.66 ; X:0.0.1.1
P:3.67 ; X:0.0.0.0
P:3.68 ; X:0.0.1.0
P:3.69 ; G:0.0.0
P:3.70 ; G:0.0.1
P:3.71 ; G:0.0.2
P:3.72 ; G:0.0.3
# Sp:3.73 ; Spare
# Sp:3.74 ; Spare
# Sp:3.75 ; Spare
# Sp:3.76 ; Spare

P:4.1 ; M:0.6.7
P:4.2 ; M:0.7.7
P:4.3 ; M:0.8.7
P:4.4 ; M:0.9.7
P:4.5 ; M:0.10.7
P:4.6 ; M:0.11.7
P:4.7 ; M:0.12.7
P:4.8 ; M:0.13.7
P:4.9 ; M:0.6.6
P:4.10 ; M:0.7.6
P:4.11 ; M:0.8.6
P:4.12 ; M:0.9.6
P:4.13 ; M:0.10.6
P:4.14 ; M:0.11.6
P:4.15 ; M:0.12.6
P:4.16 ; M:0.13.6
P:4.17 ; M:0.6.5
P:4.18 ; M:0.7.5
P:4.19 ; M:0.8.5
P:4.20 ; M:0.9.5
P:4.21 ; M:0.10.5
P:4.22 ; M:0.11.5
P:4.23 ; M:0.12.5
P:4.24 ; M:0.13.5
P:4.25 ; M:0.6.4
P:4.26 ; M:0.7.4
P:4.27 ; M:0.8.4
P:4.28 ; M:0.9.4
P:4.29 ; M:0.10.4
P:4.30 ; M:0.11.4
P:4.31 ; M:0.12.4
P:4.32 ; M:0.13.4
P:4.33 ; M:0.6.3
P:4.34 ; M:0.7.3
P:4.35 ; M:0.8.3
P:4.36 ; M:0.9.3
P:4.37 ; M:0.10.3
P:4.38 ; M:0.11.3
P:4.39 ; M:0.12.3
P:4.40 ; M:0.13.3
P:4.41 ; M:0.6.2
P:4.42 ; M:0.7.2
P:4.43 ; M:0.8.2
P:4.44 ; M:0.9.2
P:4.45 ; M:0.10.2
P:4.46 ; M:0.11.2
P:4.47 ; M:0.12.2
P:4.48 ; M:0.13.2
P:4.49 ; M:0.6.1
P:4.50 ; M:0.7.1
P:4.51 ; M:0.8.1
P:4.52 ; M:0.9.1
P:4.53 ; M:0.10.1
P:4.54 ; M:0.11.1
P:4.55 ; M:0.12.1
P:4.56 ; M:0.13.1
P:4.57 ; M:0.6.0
P:4.58 ; M:0.7.0
P:4.59 ; M:0.8.0
P:4.60 ; M:0.9.0
P:4.61 ; M:0.10.0
P:4.62 ; M:0.11.0
P:4.63 ; M:0.12.0
P:4.64 ; M:0.13.0
P:4.65 ; G:0.0.4
P:4.66 ; G:0.0.5
P:4.67 ; G:0.0.6
P:4.68 ; G:0.0.7
P:4.69 ; G:0.0.8
P:4.70 ; G:0.0.9
P:4.71 ; G:0.0.10
P:4.72 ; G:0.0.11
# Sp:4.73 ; Spare
# Sp:4.74 ; Spare
# Sp:4.75 ; Spare
# Sp:4.76 ; Spare

P:5.01 ; M:0.14.7
P:5.02 ; M:0.15.7
P:5.03 ; M:0.16.7
P:5.04 ; M:0.17.7
P:5.05 ; M:0.18.7
P:5.06 ; M:0.19.7
P:5.07 ; X:0.1.1.9
P:5.08 ; X:0.1.0.9
P:5.09 ; M:0.14.6
P:5.10 ; M:0.15.6
P:5.11 ; M:0.16.6
P:5.12 ; M:0.17.6
P:5.13 ; M:0.18.6
P:5.14 ; M:0.19.6
P:5.15 ; X:0.1.1.8
P:5.16 ; X:0.1.0.8
P:5.17 ; M:0.14.5
P:5.18 ; M:0.15.5
P:5.19 ; M:0.16.5
P:5.20 ; M:0.17.5
P:5.21 ; M:0.18.5
P:5.22 ; M:0.19.5
P:5.23 ; X:0.1.1.7
P:5.24 ; X:0.1.0.7
P:5.25 ; M:0.14.4
P:5.26 ; M:0.15.4
P:5.27 ; M:0.16.4
P:5.28 ; M:0.17.4
P:5.29 ; M:0.18.4
P:5.30 ; M:0.19.4
P:5.31 ; X:0.1.1.6
P:5.32 ; X:0.1.0.6
P:5.33 ; M:0.14.3
P:5.34 ; M:0.15.3
P:5.35 ; M:0.16.3
P:5.36 ; M:0.17.3
P:5.37 ; M:0.18.3
P:5.38 ; M:0.19.3
P:5.39 ; X:0.1.1.5
P:5.40 ; X:0.1.0.5
P:5.41 ; M:0.14.2
P:5.42 ; M:0.15.2
P:5.43 ; M:0.16.2
P:5.44 ; M:0.17.2
P:5.45 ; M:0.18.2
P:5.46 ; M:0.19.2
P:5.47 ; X:0.1.1.4
P:5.48 ; X:0.1.0.4
P:5.49 ; M:0.14.1
P:5.50 ; M:0.15.1
P:5.51 ; M:0.16.1
P:5.52 ; M:0.17.1
P:5.53 ; M:0.18.1
P:5.54 ; M:0.19.1
P:5.55 ; X:0.1.1.3
P:5.56 ; X:0.1.0.3
P:5.57 ; M:0.14.0
P:5.58 ; M:0.15.0
P:5.59 ; M:0.16.0
P:5.60 ; M:0.17.0
P:5.61 ; M:0.18.0
P:5.62 ; M:0.19.0
P:5.63 ; X:0.1.1.2
P:5.64 ; X:0.1.0.2
P:5.65 ; X:0.1.1.1
P:5.66 ; X:0.1.0.1
P:5.67 ; G:0.0.12
P:5.68 ; G:0.0.13
P:5.69 ; G:0.0.14
P:5.70 ; G:0.0.15
P:5.71 ; X:0.1.1.0
P:5.72 ; X:0.1.0.0
# Sp:5.73 ; Spare
# Sp:5.74 ; Spare
# Sp:5.75 ; Spare
# Sp:5.76 ; Spare

S:6.1 ; X:1.0.0.15
S:6.2 ; X:1.0.1.15
S:6.3 ; G:1.1.0
S:6.4 ; G:1.1.1
S:6.5 ; G:1.1.2
S:6.6 ; G:1.1.3
S:6.7 ; G:1.1.4
S:6.8 ; G:1.1.5
S:6.9 ; G:1.1.6
S:6.10 ; G:1.1.7
S:6.11 ; X:1.0.0.14
